Rank,Date,Tm,,Opp,,,Scorer,Age,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
149,1992-03-07,LAK,,PIT,W,,Wayne Gretzky,31,Larry Robinson,John McIntyre,Tom Barrasso,3,4:53,SH,,Great Western Forum
150,1992-02-29,LAK,,MTL,W,,Wayne Gretzky,31,Luc Robitaille,Jari Kurri,,3,19:52,EV,EN,Great Western Forum
151,1992-02-21,LAK,@,CGY,L,,Wayne Gretzky,31,Larry Robinson,Tony Granato,Mike Vernon,1,16:22,EV,,Olympic Saddledome
152,1992-02-19,LAK,@,EDM,L,,Wayne Gretzky,31,Tony Granato,Luc Robitaille,Bill Ranford,1,4:12,PP,,Northlands Coliseum
153,1992-02-17,LAK,,BOS,W,,Wayne Gretzky,31,Brian Benning,Luc Robitaille,Andy Moog,2,17:04,PP,,Great Western Forum
154,1992-02-17,LAK,,BOS,W,,Wayne Gretzky,31,John McIntyre,,,3,18:50,SH,EN,Great Western Forum
155,1992-02-08,LAK,@,PIT,W,,Wayne Gretzky,31,Jari Kurri,Rob Blake,Tom Barrasso,1,14:21,EV,,Pittsburgh Civic Arena
156,1992-02-08,LAK,@,PIT,W,,Wayne Gretzky,31,Marty McSorley,Jari Kurri,Tom Barrasso,1,8:23,PP,,Pittsburgh Civic Arena
157,1992-02-01,LAK,,CHI,W,,Wayne Gretzky,31,Corey Millen,,,3,19:57,EV,EN,Great Western Forum
158,1992-01-28,LAK,,STL,T,OT,Wayne Gretzky,31,Luc Robitaille,Corey Millen,Curtis Joseph,2,4:10,PP,,Great Western Forum
159,1992-01-09,LAK,@,PHI,L,,Wayne Gretzky,30,Jari Kurri,,Ron Hextall,2,11:19,PP,,The Spectrum
160,1992-01-04,LAK,,PHI,W,,Wayne Gretzky,30,Luc Robitaille,John McIntyre,Ken Wregget,2,16:00,EV,,Great Western Forum
161,1991-12-28,LAK,@,EDM,W,,Wayne Gretzky,30,Larry Robinson,Rob Blake,Peter Ing,3,17:38,PP,,Northlands Coliseum
162,1991-12-26,LAK,,SJS,W,,Wayne Gretzky,30,David Goverde,,,3,18:56,EV,EN,Great Western Forum
163,1991-12-21,LAK,,DET,L,,Wayne Gretzky,30,Jari Kurri,Charlie Huddy,Tim Cheveldae,1,8:59,EV,,Great Western Forum
164,1991-12-14,LAK,,VAN,T,OT,Wayne Gretzky,30,Brian Benning,Charlie Huddy,Kirk McLean,2,16:16,EV,,Great Western Forum
165,1991-12-12,LAK,,WIN,W,,Wayne Gretzky,30,Tony Granato,Jari Kurri,Stephane Beauregard,3,11:22,EV,,Great Western Forum
166,1991-12-03,LAK,@,SJS,L,OT,Wayne Gretzky,30,Tony Granato,Tomas Sandstrom,Jeff Hackett,1,9:51,EV,,Cow Palace
