r0_1,r1_1,r2_1,r3_1,r6_1,r7_1,x_1,y_1,totalR_1,r0_2,r1_2,r2_2,r3_2,r6_2,r7_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
3.2558806,0.0,1.7353477,0.0,2.0154514,0.0,0.47,20.75,7.0066795,2.1252563,0.0,1.3574734,0.0,0.53505737,0.0,-1.69,23.57,4.017787,1.1836805,8.9988785,11.0244665
3.1733844,0.0,1.7421516,0.0,1.9979835,0.0,0.46,20.74,6.9135194,2.1252563,0.0,1.3574734,0.0,0.5303082,0.0,-1.69,23.58,4.0130377,1.1812778,9.079576,10.926558
3.0972743,0.0,1.7421516,0.0,1.9979835,0.0,0.48,20.69,6.8374095,2.0920265,0.0,1.3636184,0.0,0.52570677,0.0,-1.7,23.58,3.9813516,1.1812778,9.079576,10.818761
3.0972743,0.0,1.7490684,0.0,1.9979835,0.0,0.48,20.68,6.844326,2.0920265,0.0,1.3636184,0.0,0.52570677,0.0,-1.7,23.58,3.9813516,1.1866486,9.142123,10.825678
3.0972743,0.0,1.7490684,0.0,1.9979835,0.0,0.48,20.66,6.844326,2.0920265,0.0,1.3574734,0.0,0.5303082,0.0,-1.69,23.57,3.979808,1.1866486,9.142123,10.824134
3.0972743,0.0,1.7490684,0.0,1.9811393,0.0,0.47,20.67,6.8274817,2.0920265,0.0,1.3698742,0.0,0.5303082,0.0,-1.69,23.57,3.992209,1.1840025,9.145525,10.819691
3.0267572,0.0,1.756101,0.0,1.9811393,0.0,0.46,20.66,6.7639976,2.0608268,0.0,1.3762445,0.0,0.5374899,0.0,-1.68,23.55,3.9745612,1.1857147,9.210523,10.738559
3.0267572,0.0,1.756101,0.0,1.9811393,0.0,0.47,20.66,6.7639976,2.0608268,0.0,1.382733,0.0,0.5397361,0.0,-1.68,23.55,3.9832957,1.1857147,9.210523,10.747293
3.0267572,0.0,1.7490684,0.0,1.9648808,0.0,0.47,20.65,6.7407064,2.0314488,0.0,1.3762445,0.0,0.54201627,0.0,-1.67,23.54,3.9497097,1.1774311,9.230747,10.690416
2.9611716,0.0,1.756101,0.0,1.9811393,0.0,0.48,20.6,6.698412,2.0608268,0.0,1.3762445,0.0,0.53505737,0.0,-1.68,23.56,3.9721286,1.1774311,9.230747,10.670541
2.9611716,0.0,1.7490684,0.0,1.9648808,0.0,0.49,20.57,6.675121,2.0608268,0.0,1.382733,0.0,0.5397361,0.0,-1.68,23.55,3.9832957,1.1861691,9.279084,10.658417
2.8999617,0.0,1.756101,0.0,1.9648808,0.0,0.49,20.56,6.6209435,2.0608268,0.0,1.3762445,0.0,0.54201627,0.0,-1.67,23.54,3.9790876,1.1818074,9.278651,10.600031
2.8999617,0.0,1.756101,0.0,1.9648808,0.0,0.51,20.53,6.6209435,2.0608268,0.0,1.39608,0.0,0.5534639,0.0,-1.67,23.53,4.0103707,1.1818074,9.278651,10.631314
2.8426557,0.0,1.7490684,0.0,1.9648808,0.0,0.51,20.51,6.556605,2.0920265,0.0,1.3762445,0.0,0.54668224,0.0,-1.67,23.54,4.014953,1.1828315,9.356188,10.571558
2.8426557,0.0,1.7632535,0.0,1.9648808,0.0,0.51,20.5,6.5707903,2.0608268,0.0,1.3762445,0.0,0.54882956,0.0,-1.66,23.53,3.9859009,1.1828315,9.356188,10.556691
2.8426557,0.0,1.7632535,0.0,1.9648808,0.0,0.51,20.49,6.5707903,2.0314488,0.0,1.382733,0.0,0.5579864,0.0,-1.65,23.51,3.972168,1.1895143,9.393406,10.542958
2.8426557,0.0,1.756101,0.0,1.9811393,0.0,0.53,20.46,6.579896,2.0608268,0.0,1.3893435,0.0,0.57323515,0.0,-1.63,23.48,4.0234056,1.187404,9.412119,10.603302
2.8426557,0.0,1.7632535,0.0,1.9648808,0.0,0.52,20.48,6.5707903,2.0608268,0.0,1.39608,0.0,0.5839758,0.0,-1.62,23.46,4.0408826,1.187404,9.412119,10.611673
